Date,Abertura,Máxima,Mínima,Fechamento
2023-04-28,25.93,25.93000030517578,25.510000228881836,25.920000076293945
2023-05-02,25.73,25.969999313354492,24.860000610351562,24.899999618530273
2023-05-03,24.95,25.1299991607666,24.68000030517578,24.860000610351562
2023-05-04,24.99,25.280000686645508,24.520000457763672,25.059999465942383
2023-05-05,25.35,25.989999771118164,25.020000457763672,25.989999771118164
2023-05-08,26.45,26.56999969482422,25.809999465942383,26.350000381469727
2023-05-09,26.28,26.790000915527344,26.229999542236328,26.510000228881836
2023-05-10,26.46,27.040000915527344,26.290000915527344,26.899999618530273
2023-05-11,26.76,27.34000015258789,26.610000610351562,27.15999984741211
2023-05-12,26.81,27.049999237060547,26.670000076293945,26.90999984741211
2023-05-15,26.95,27.100000381469727,26.709999084472656,27.010000228881836
