Date,Abertura,Máxima,Mínima,Fechamento
2023-04-28,23.6,24.049999237060547,23.149999618530273,23.700000762939453
2023-05-02,23.7,23.739999771118164,22.639999389648438,22.739999771118164
2023-05-03,22.6,22.989999771118164,22.420000076293945,22.65999984741211
2023-05-04,22.89,23.3799991607666,22.610000610351562,23.020000457763672
2023-05-05,23.3,24.170000076293945,23.18000030517578,24.0
2023-05-08,24.45,24.6299991607666,24.209999084472656,24.510000228881836
2023-05-09,24.41,24.799999237060547,24.239999771118164,24.59000015258789
2023-05-10,24.59,24.81999969482422,24.329999923706055,24.530000686645508
2023-05-11,24.13,25.479999542236328,23.93000030517578,25.43000030517578
2023-05-12,25.58,26.739999771118164,25.479999542236328,26.25
2023-05-15,26.06,26.149999618530273,25.399999618530273,25.65999984741211
2023-05-16,26.11,27.030000686645508,26.079999923706055,26.299999237060547
